site_name,Zm,g1,Albedo,Elev,MAP,MAT,Source,Dataset,N_gN_100gleaf,AGB_t_DM_ha,Ref,lat,long,LC,Koppen,hc,LAImax,DATA_START,DATA_END,hc_RS,Elev_srtm3,Elev_gtopo30,theta_fc,theta_paw,theta_r,theta_s
JP-Tgf,,,,27.0,,,JapanFlux2024,,,,,36.11353,140.09488,GRA,Cfa,,,,,2.270361465674692,29.0,25,0.30456,0.17357,0.12526,0.45334
JP-Toc,,,,96.0,,,JapanFlux2024,,,,,42.709727,141.565898,DBF,Dfb,,,,,11.319745902252825,97.0,62,0.32276,0.2091,0.10737,0.49481
JP-Tom,,,,90.0,,,JapanFlux2024,,,,,42.698906,141.571488,DBF,Dfb,,,,,13.29765845630178,82.0,60,0.32136,0.20414,0.11084,0.49425
JP-Tef,,,,79.0,,,JapanFlux2024,,,,,45.055808,142.107122,DNF,Dfb,,,,,9.55790837208884,80.0,81,0.3435,0.22468,0.11161,0.51461
MN-Udg,,,,1342.0,,,JapanFlux2024,,,,,48.256389,106.851111,DNF,Dwc,,,,,2.8196221557951087,1336.0,1395,0.38734,0.24486,0.13346,0.54172
JP-Kgu,,,,18.0,,,JapanFlux2024,,,,,35.582859,139.693543,URB,Cfa,,,,,0.48885795318782,19.0,16,0.3217,0.16427,0.15075,0.45712
JP-Yrp,,,,23.0,,,JapanFlux2024,,,,,36.007667,140.030175,CRO,Cfa,,,,,1.578590617896259,23.0,20,0.32026,0.17797,0.13613,0.4572
JP-Hrt,,,,6.0,,,JapanFlux2024,,,,,35.362778,139.338056,CRO,Cfa,,,,,1.492707269810181,7.0,19,0.33684,0.17789,0.15192,0.47097
TH-Kms,,,,4.0,,,JapanFlux2024,,,,,14.009167,99.984167,CRO,Aw,,,,,1.14665154366766,6.0,6,0.32202,0.13916,0.17569,0.42353
JP-Tkb,,,,341.0,,,JapanFlux2024,,,,,36.173379,140.176634,ENF,Cfa,,,,,4.459499035814095,343.0,300,0.3194,0.18391,0.12939,0.46539
TH-Kog,,,,1265.0,,,JapanFlux2024,,,,,18.8,98.9,EBF,Af,,,,,8.649134317477676,1264.0,1104,0.35379,0.17402,0.17124,0.49458
TH-Mae,,,,380.0,,,JapanFlux2024,,,,,18.383333,99.716667,DBF,Aw,,,,,6.910386494025362,347.0,338,0.31123,0.15155,0.15326,0.43196
JP-Nap,,,,40.0,,,JapanFlux2024,,,,,34.77485,134.892442,WAT,Cfa,,,,,2.0431133075220083,37.0,42,0.31209,0.17246,0.13395,0.43521
JP-Km2,,,,7.0,,,JapanFlux2024,,,,,43.1,144.35,WET,Dfb,,,,,5.0443210978467015,3.0,3,0.40148,0.24169,0.149,0.55846
RU-USk,,,,143.0,,,JapanFlux2024,,,,,62.150995,130.527517,GRA,Dfb,,,,,4.244570444099616,,132,0.50398,0.30767,0.17631,0.64269
JP-NsM,,,,320.0,,,JapanFlux2024,,,,,36.915833,139.935833,GRA,Cfa,,,,,4.9137127150565,306.0,306,0.31286,0.1755,0.13142,0.45297
JP-NsC,,,,320.0,,,JapanFlux2024,,,,,36.915,139.936667,GRA,Cfa,,,,,4.85162597487222,309.0,306,0.31286,0.1755,0.13142,0.45297
JP-Tmd,,,,117.0,,,JapanFlux2024,,,,,42.735911,141.523147,DNF,Dfb,,,,,13.279893007117268,117.0,114,0.34184,0.22223,0.11286,0.50526
